Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00        4     0.00     0.00  void std::vector<glm::vec<2, float, (glm::qualifier)0>, std::allocator<glm::vec<2, float, (glm::qualifier)0> > >::_M_realloc_insert<glm::vec<2, float, (glm::qualifier)0> >(__gnu_cxx::__normal_iterator<glm::vec<2, float, (glm::qualifier)0>*, std::vector<glm::vec<2, float, (glm::qualifier)0>, std::allocator<glm::vec<2, float, (glm::qualifier)0> > > >, glm::vec<2, float, (glm::qualifier)0>&&)
  0.00      0.20     0.00        4     0.00     0.00  void std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >::_M_realloc_insert<glm::vec<3, float, (glm::qualifier)0> >(__gnu_cxx::__normal_iterator<glm::vec<3, float, (glm::qualifier)0>*, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > >, glm::vec<3, float, (glm::qualifier)0>&&)
  0.00      0.20     0.00        4     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
  0.00      0.20     0.00        4     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Texture>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Texture> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Texture> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Texture> >*)
  0.00      0.20     0.00        3     0.00     0.00  FreeWrapper(void*, void*)
  0.00      0.20     0.00        3     0.00     0.00  MallocWrapper(unsigned long, void*)
  0.00      0.20     0.00        3     0.00     0.24  GroveRenderer::add_instance_model(GroveRenderer::LOD&, GrovePacked*, InstancedBranch&, int, bool)
  0.00      0.20     0.00        3     0.00     0.00  Model::update()
  0.00      0.20     0.00        3     0.00     0.00  saver::load(_IO_FILE*, InstanceDataArrays&)
  0.00      0.20     0.00        3     0.00     0.00  saver::load(_IO_FILE*, Impostor&)
  0.00      0.20     0.00        3     0.00     0.00  saver::load(_IO_FILE*, Billboard&)
  0.00      0.20     0.00        3     0.00     0.00  bool saver::loadsv<unsigned int>(_IO_FILE*, std::vector<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.20     0.00        3     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_default_append(unsigned long)
  0.00      0.20     0.00        3     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&)
  0.00      0.20     0.00        3     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.20     0.00        2     0.00     0.00  _GLOBAL__sub_I__ZN6Shader5setupESt16initializer_listINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEE
  0.00      0.20     0.00        2     0.00     0.00  _GLOBAL__sub_I__ZN8InstanceC2EP9Primitive
  0.00      0.20     0.00        2     0.00     0.00  ImDrawList::Clear()
  0.00      0.20     0.00        2     0.00     0.00  ImDrawList::ImDrawList(ImDrawListSharedData const*)
  0.00      0.20     0.00        2     0.00     0.00  ImDrawList::~ImDrawList()
  0.00      0.20     0.00        2     0.00     0.00  TextureManager::load_unnamed(Texture&, unsigned char*)
  0.00      0.20     0.00        2     0.00     0.00  TextureManager::create_unnamed(int, int, bool)
  0.00      0.20     0.00        2     0.00     2.87  ImpostorRenderer::ImpostorRenderer(ImpostorsData*)
  0.00      0.20     0.00        2     0.00     0.00  ImDrawListSplitter::ClearFreeMemory()
  0.00      0.20     0.00        2     0.00     0.00  Box::Box(glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>)
  0.00      0.20     0.00        2     0.00     0.00  Model::Model()
  0.00      0.20     0.00        2     0.00     0.00  Model::~Model()
  0.00      0.20     0.00        2     0.00     0.00  bool saver::loadv<Impostor>(_IO_FILE*, std::vector<Impostor, std::allocator<Impostor> >&)
  0.00      0.20     0.00        2     0.00     0.00  bool saver::loadv<std::vector<PackedBranch, std::allocator<PackedBranch> > >(_IO_FILE*, std::vector<std::vector<PackedBranch, std::allocator<PackedBranch> >, std::allocator<std::vector<PackedBranch, std::allocator<PackedBranch> > > >&)
  0.00      0.20     0.00        2     0.00     0.00  Timestamp::Timestamp(bool)
  0.00      0.20     0.00        2     0.00     0.00  std::_Hashtable<int, std::pair<int const, bool>, std::allocator<std::pair<int const, bool> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00      0.20     0.00        2     0.00     0.00  _ZNSt14_Function_base13_Base_managerIUlP5ModelE0_E10_M_managerERSt9_Any_dataRKS5_St18_Manager_operation
  0.00      0.20     0.00        2     0.00     0.00  std::vector<BillboardData, std::allocator<BillboardData> >::_M_default_append(unsigned long)
  0.00      0.20     0.00        2     0.00     0.00  std::vector<Impostor, std::allocator<Impostor> >::_M_default_append(unsigned long)
  0.00      0.20     0.00        2     0.00     0.00  Body*& std::vector<Body*, std::allocator<Body*> >::emplace_back<Body*>(Body*&&)
  0.00      0.20     0.00        2     0.00     0.00  std::vector<std::vector<PackedBranch, std::allocator<PackedBranch> >, std::allocator<std::vector<PackedBranch, std::allocator<PackedBranch> > > >::_M_default_append(unsigned long)
  0.00      0.20     0.00        2     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> > >::_M_emplace_unique<char*&, GroveGenerationData&>(char*&, GroveGenerationData&)
  0.00      0.20     0.00        2     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >*)
  0.00      0.20     0.00        2     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters> >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters> > >::_M_emplace_unique<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, TreeStructureParameters&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, TreeStructureParameters&)
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_GImGui
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z15print_FB_statusj
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z6splineRSt6vectorIdSaIdEES2_
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10Visualizer13leaf_to_modelER4LeafP5Modelf
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11Clusterizer7Cluster18currentClusterizerE
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13GroveRendererC2Ev
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13ImpostorBaker7prepareER4TreeiRSt6vectorIN11Clusterizer7ClusterESaIS4_EERNSt7__cxx114listIiSaIiEEEP13ImpostorsData
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN16PlanarShadowsMap12set_occluderEN3glm3vecILi3EfLNS0_9qualifierE0EEEfff
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN17BillboardCloudRawC2EiiRSt6vectorI12TreeTypeDataSaIS1_EE
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4Tiny6windowENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEii
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4TreeC2Ev
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5Audio4initEv
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5ImGui15StyleColorsDarkEP10ImGuiStyle
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5color5blackE
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5image13base_img_pathB5cxx11E
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5saver13textures_pathB5cxx11E
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6Config3getENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6Config9load_ggdsEv
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7Texture22set_default_paramatersEPS_
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9HeightmapC2EN3glm3vecILi3EfLNS0_9qualifierE0EEENS1_ILi2EfLS2_0EEEf
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_base_seed
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_optimization_quantiles
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_seg_count
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_sum_memory
  0.00      0.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_tex_mem
  0.00      0.20     0.00        1     0.00     0.00  ImGui_ImplOpenGL3_Init(char const*)
  0.00      0.20     0.00        1     0.00     0.00  ImGui_ImplSDL2_Shutdown()
  0.00      0.20     0.00        1     0.00     0.00  ImGui_ImplOpenGL3_Shutdown()
  0.00      0.20     0.00        1     0.00     0.00  ImGui_ImplSDL2_InitForOpenGL(SDL_Window*, void*)
  0.00      0.20     0.00        1     0.00     0.00  debug(char const*, ...)
  0.00      0.20     0.00        1     0.00     0.00  ImGuiStyle::ImGuiStyle()
  0.00      0.20     0.00        1     0.00     0.00  Visualizer::box_to_model(Box*, Model*)
  0.00      0.20     0.00        1     0.00     0.00  ImFontAtlas::ClearInputData()
  0.00      0.20     0.00        1     0.00     0.00  ImFontAtlas::ImFontAtlas()
  0.00      0.20     0.00        1     0.00     0.00  ImFontAtlas::~ImFontAtlas()
  0.00      0.20     0.00        1     0.00     0.00  ImGuiContext::~ImGuiContext()
  0.00      0.20     0.00        1     0.00     0.74  GroveRenderer::GroveRenderer()
  0.00      0.20     0.00        1     0.00     0.00  ImDrawListSharedData::ImDrawListSharedData()
  0.00      0.20     0.00        1     0.00     0.00  View::init(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, int)
  0.00      0.20     0.00        1     0.00     0.00  View::quit()
  0.00      0.20     0.00        1     0.00     0.00  Audio::init()
  0.00      0.20     0.00        1     0.00     0.00  Audio::quit()
  0.00      0.20     0.00        1     0.00     0.00  ImGui::CreateContext(ImFontAtlas*)
  0.00      0.20     0.00        1     0.00     0.00  ImGui::DestroyContext(ImGuiContext*)
  0.00      0.20     0.00        1     0.00     0.00  ImGui::StyleColorsDark(ImGuiStyle*)
  0.00      0.20     0.00        1     0.00     0.00  ImGui::StyleColorsCustom(ImGuiStyle*)
  0.00      0.20     0.00        1     0.00     0.00  ImGui::DebugCheckVersionAndDataLayout(char const*, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
  0.00      0.20     0.00        1     0.00     0.00  ImGui::GetStyle()
  0.00      0.20     0.00        1     0.00     0.00  ImGui::Shutdown(ImGuiContext*)
  0.00      0.20     0.00        1     0.00     0.75  bool saver::loadv<ImpostorsData>(_IO_FILE*, std::vector<ImpostorsData, std::allocator<ImpostorsData> >&)
  0.00      0.20     0.00        1     0.00     0.00  bool saver::loadv<InstancedBranch>(_IO_FILE*, std::vector<InstancedBranch, std::allocator<InstancedBranch> >&)
  0.00      0.20     0.00        1     0.00     1.49  bool saver::loadv<BillboardCloudData>(_IO_FILE*, std::vector<BillboardCloudData, std::allocator<BillboardCloudData> >&)
  0.00      0.20     0.00        1     0.00     0.00  ImFont::ImFont()
  0.00      0.20     0.00        1     0.00     0.00  ImFont::~ImFont()
  0.00      0.20     0.00        1     0.00     0.00  ImGuiIO::ImGuiIO()
  0.00      0.20     0.00        1     0.00     0.00  std::_Hashtable<unsigned char, std::pair<unsigned char const, bool>, std::allocator<std::pair<unsigned char const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned char>, std::hash<unsigned char>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned char const, bool>, false>*)
  0.00      0.20     0.00        1     0.00     0.00  std::_Hashtable<unsigned char, std::pair<unsigned char const, bool>, std::allocator<std::pair<unsigned char const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned char>, std::hash<unsigned char>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00      0.20     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<View::interface::{lambda()#1}>::_M_manager(std::_Any_data&, View::interface::{lambda()#1} const&, std::_Manager_operation)
  0.00      0.20     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<Event::handler::{lambda()#1}>::_M_manager(std::_Any_data&, Event::handler::{lambda()#1} const&, std::_Manager_operation)
  0.00      0.20     0.00        1     0.00     0.00  _ZNSt14_Function_base13_Base_managerIUlvE_E10_M_managerERSt9_Any_dataRKS3_St18_Manager_operation
  0.00      0.20     0.00        1     0.00     0.75  std::vector<ImpostorsData, std::allocator<ImpostorsData> >::_M_default_append(unsigned long)
  0.00      0.20     0.00        1     0.00     0.00  std::vector<InstancedBranch, std::allocator<InstancedBranch> >::_M_default_append(unsigned long)
  0.00      0.20     0.00        1     0.00     1.49  std::vector<BillboardCloudData, std::allocator<BillboardCloudData> >::_M_default_append(unsigned long)
  0.00      0.20     0.00        1     0.00     0.00  std::vector<std::pair<glm::mat<4, 4, float, (glm::qualifier)0>, BranchStructure>, std::allocator<std::pair<glm::mat<4, 4, float, (glm::qualifier)0>, BranchStructure> > >::_M_default_append(unsigned long)
  0.00      0.20     0.00        1     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.20     0.00        1     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, GroveGenerationData> > >::_M_emplace_unique<char const (&) [8], GroveGenerationData&>(char const (&) [8], GroveGenerationData&)
  0.00      0.20     0.00        1     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TreeStructureParameters> >*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.
